in_school,owns_house,house_beds,house_kitchen,reported_social_status,got_pr_transf,part_in_training,life_satisfaction,offdays_ill,healthinsurance,speak_other_languaje,lives_w_mother,lives_w_father,ses_15,read_overall,write_overall,numeracy_overall,computer_use_overall,think_learn_work,autonomy_at_work,repetitiveness_at_work,physical_demand_work,extraversion_av,conscientiousness_avg,openness_av,stability_av,agreeableness_av,grit_av,decision_av,hostile_av,risk,has_children,hh_size,gender,age,has_spouse,chronic_disease,shocks_bef_15,BMI,mother_tongue,labor_market_status,job_stable,hour_earnings,total_hr_worked_week,highest_ISCED_PIAAC,years_educ,wealth_index,overqualified,country,dropout,got_pu_transf,supervise,in_school_1.0,owns_house_2,owns_house_3,house_beds_2,house_beds_3,house_kitchen_1,reported_social_status_1,reported_social_status_2,reported_social_status_3,reported_social_status_4,reported_social_status_5,reported_social_status_6,got_pr_transf_1,got_pu_transf_1,part_in_training_1.0,offdays_ill_1.0,healthinsurance_1.0,speak_other_languaje_1.0,lives_w_mother_1.0,lives_w_father_1.0,read_overall_1.0,read_overall_2.0,read_overall_3.0,write_overall_1.0,write_overall_2.0,write_overall_3.0,numeracy_overall_1.0,numeracy_overall_2.0,numeracy_overall_3.0,supervise_1.0,computer_use_overall_1.0,computer_use_overall_2.0,computer_use_overall_3.0,think_learn_work_1.0,think_learn_work_2.0,think_learn_work_3.0,autonomy_at_work_1.0,autonomy_at_work_2.0,autonomy_at_work_3.0,repetitiveness_at_work_1.0,repetitiveness_at_work_2.0,repetitiveness_at_work_3.0,physical_demand_work_1.0,physical_demand_work_2.0,physical_demand_work_3.0,has_children_1.0,hh_size_2,gender_1,has_spouse_1,chronic_disease_1.0,shocks_bef_15_1.0,mother_tongue_1.0,labor_market_status_1.0,job_stable_1.0,highest_ISCED_PIAAC_1,highest_ISCED_PIAAC_2,highest_ISCED_PIAAC_3,highest_ISCED_PIAAC_5,highest_ISCED_PIAAC_6,highest_ISCED_PIAAC_7,highest_ISCED_PIAAC_8,dropout_1.0
0.0,2,3,1,3,0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.66666674613953,3.66666674613953,3.33333325386047,3.33333325386047,4.0,3.0,2.0,3.0,4.0,1.0,2,1,58,0,0.0,1.0,31.1000003814697,1.0,0.0,0.0,0.0,0,3,11.0,-0.172015160322189,0.0,Colombia,0.0,1,0.0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
0.0,2,1,1,3,0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,1.0,3.66666674613953,4.0,4.0,3.66666674613953,3.66666674613953,3.33333325386047,4.0,1.0,4.0,1.0,1,0,36,1,0.0,0.0,24.7000007629395,1.0,1.0,1.0,45833.33203125,24,5,13.0,0.303367227315903,1.0,Colombia,0.0,0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
0.0,2,2,1,3,0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66666674613953,2.66666674613953,2.66666674613953,1.0,3.0,3.66666674613953,1.0,1.0,1.0,1.0,2,1,61,0,1.0,0.0,29.2999992370605,1.0,0.0,0.0,0.0,0,1,8.0,0.257640033960342,0.0,Colombia,1.0,1,0.0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
0.0,2,2,1,3,0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.66666674613953,4.0,3.33333325386047,3.66666674613953,4.0,3.33333325386047,4.0,1.5,4.0,1.0,1,1,39,1,0.0,1.0,27.2999992370605,1.0,0.0,0.0,0.0,0,3,14.5,0.303686499595642,0.0,Colombia,1.0,0,0.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
0.0,1,1,1,3,0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,1.33333337306976,3.33333325386047,3.0,2.33333325386047,2.0,3.33333325386047,2.75,2.0,2.0,1.0,1,0,23,1,0.0,0.0,24.5,1.0,1.0,1.0,4980.8427734375,30,3,11.0,1.06192672252655,1.0,Colombia,0.0,0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
1.0,2,2,1,3,0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,6.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.33333325386047,3.33333325386047,3.33333325386047,3.66666674613953,2.66666674613953,3.25,1.0,1.0,0.0,2,1,17,0,0.0,0.0,20.2999992370605,1.0,0.0,0.0,0.0,0,3,11.0,0.507292628288269,0.0,Colombia,0.0,0,0.0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,2,2,1,3,0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,3.66666674613953,3.66666674613953,2.66666674613953,2.33333325386047,3.0,3.0,2.0,1.0,1.0,1.0,1,1,47,1,0.0,0.0,25.3999996185303,1.0,1.0,1.0,5172.41357421875,40,5,13.0,0.52189177274704,1.0,Colombia,0.0,1,1.0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0
0.0,2,1,1,2,0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,3.33333325386047,2.33333325386047,4.0,3.33333325386047,2.66666674613953,3.33333325386047,3.5,1.5,1.0,0.0,1,0,27,0,0.0,1.0,22.0,1.0,1.0,1.0,2333.33325195312,105,1,5.0,-0.563352048397064,1.0,Colombia,0.0,0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
0.0,2,1,1,2,0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,2.66666674613953,4.0,3.66666674613953,2.0,3.33333325386047,2.66666674613953,4.0,2.0,1.0,0.0,2,1,54,0,0.0,0.0,32.0999984741211,1.0,1.0,1.0,12500.0,8,1,5.0,-1.45952165126801,1.0,Colombia,1.0,1,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
0.0,2,1,1,2,0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.33333325386047,2.0,2.0,2.0,2.5,1.5,1.0,1.0,1,0,39,1,0.0,1.0,26.2000007629395,1.0,1.0,1.0,3200.20483398438,72,3,11.0,-0.059773150831461,0.0,Colombia,0.0,0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
